Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Record_No,Status,Expiration_Date,DBA,Owner / Community_Name,Location_Address,Mailing_Address,County,Community_Phone,Total_#_Sites,Issued_Date,Operator_Name,Operator_Phone,Operator_email,latitude,longitude,House district,Senate district
246,246,246,1201756,Expired,2024-10-01,GUNTHERS MOBILE HOME COURT,,"G-63136 N DORT HIGHWAY, MT MORRIS MI 48458","20 SHALLOW BROOK ROAD, MORGANVILLE, NJ 07751",GENESEE,8045506892,172,04/15/2020,PRABIN DUTTA,8045506892,mhpdutta@comcast.net,43.0889865,-83.6744932,,
247,247,247,1201757,Expired,2024-10-01,KRISTANA MOBILE HOME PARK,,"1110 E COLEMAN ROAD, LANSING MI 48906","42815 GARFIELD RD., STE. 213, CLINTON TWP, MI 48038",CLINTON,5174847493,154,04/15/2020,D MARK KRUEGER,5863335622,,42.7723291,-84.4814436,,
248,248,248,1201759,Expired,2024-10-01,,,"2480 BEVERLY BLVD, FLINT MI 48504","1630 GUADALUPE RD  STE 101, GILBERT, AZ 85299",GENESEE,8107159334,212,03/26/2021,THOMAS STAPLEY,No Phone,LICENSING@ROOTSMG.COM,43.0444352,-83.7483312,,
249,249,249,1201764,Expired,2024-10-01,,,"11443 BONNIE DRIVE, SCHOOLCRAFT MI 49087","1800 W WARNER AVE, CHICAGO, IL 60613",KALAMAZOO,No Phone,57,05/13/2020,JARED FALCONER,3127228018,jfalconer76@gmail.com,42.1508027,-85.6280553,,
250,250,250,1201766,Expired,2024-10-01,,,"56630 89TH AVE, DECATUR MI 49045","PO BOX 83165, GAITHERSBURG, MD 20883",VAN BUREN,2406302734,35,05/20/2020,YANIV ZIEF,2406302734,yaniv@elyaholdings.com,42.0967224,-86.0954757,,
251,251,251,1201777,Expired,2024-10-01,,,"1716 E LANSING ROAD, CHARLOTTE MI 48813","1800 W WARNER AVE, CHICAGO, IL 60613",EATON,3127228018,50,07/02/2020,JARED FALCONER,3127228018,jfalconer76@gmail.com,42.5845758,-84.8040851,,
252,252,252,1201787,Expired,2024-10-01,SAGINAW VILLAS MHC,,"4141 DIXIE HIGHWAY, SAGINAW MI 48601","1630 W. GUADALUPE ROAD, GILBERT, AZ 85233",SAGINAW,9897599433,472,09/17/2020,THOMAS STAPLEY,480-339-0000,licensing@rootsmg.com,43.3946377,-83.9077533,,
253,253,253,1201795,Expired,2024-10-01,STARLIGHT MOBILE HOME PARK,,"7175 BISHOP ROAD, BRIGHTON MI 48116","PO BOX 250633, WEST BLOOMFIELD, MI 48325",LIVINGSTON,2485341440,48,11/16/2020,JOSEPH BROPHY,248-246-7203,joe@silversidemgmt.com,42.4982226,-83.7538808,,
254,254,254,1201805,Expired,2024-10-01,SUNSET TRAILER VILLAGE,,"28730 GRAND RIVER, FARMINGTON HILLS MI 48336","6822 JASMINE DRIVE, TROY, MI 48098",OAKLAND,2489396221,22,12/15/2020,MAJED HANNA-KACHL,2489396221,majed19622005@yahoo.com,42.446229,-83.3299687,,
255,255,255,1201807,Expired,2024-10-01,,,"533 GOODRICH ST, VASSAR MI 48768","PO BOX 4792, TROY, MI 48099",TUSCOLA,7344442869,20,12/18/2020,CHAD RIDER,7344442869,VASSARCOMMUNITYPARKLLC@GMAIL.COM,43.3627762,-83.5792749,,
256,256,256,1201808,Expired,2024-10-01,GREENBRIAR ESTATES MOBILE HOME PARK,,"2500 HOLMES ST, YPSILANTI MI 48198","20 SHALLOWBROOK ROAD, MORGANVILLE, NJ 07751",WASHTENAW,8045506892,111,12/22/2020,PRABIN DUTTA,8045506892,pdutta@cosmonetllc.com,42.2537685,-83.5634425,,
257,257,257,1201811,Expired,2024-10-01,INDIANHILLS MANOR MOBILE HOME PARK,,"G-6328 NORTH GENESEE ROAD, FLINT MI 48506","20 SHALLOWBROOK ROAD, MORGANVILLE, NJ 07751",GENESEE,8045506838,429,02/11/2021,PRABIN DUTTA,8045506892,pdutta@cosmonetllc.com,43.0695209,-83.6165788,,
258,258,258,1201815,Expired,2024-10-01,HILLSIDE MOBILE HOME PARK,,"857 GLEN AVE, ELBERTA MI 49628","502 W 7TH STREET, TRAVERSE CITY, MI 49684",BENZIE,2316208967,12,02/23/2021,KEVIN ELSENHEIMER,231-620-8967,kevinelsenheimer@gmail.com,44.616149,-86.229958,,
259,259,259,1201818,Expired,2024-10-01,,,"5407 ALOHA DRIVE, CASCO MI 48064","900 SKOKIE BLVD., STE. 285, NORTHBROOK, IL 60062",ST CLAIR,5867495169,562,03/05/2021,DAVID WORTH,224-261-8624,tracy@raviniacommunities.com,42.7389521,-82.7279705,,
260,260,260,1201821,Expired,2024-10-01,POPLARS RESORT,,"3000 LAKE PLEASANT RD S, OSSEO MI 43266","16239 CO RD F, WAUSEON, OH 43567",HILLSDALE,4198221180,67,03/12/2021,ANDREA SAGER,4198221180,andrea.sager@yahoo.com,41.8834181,-84.5638973,,
261,261,261,1201829,Expired,2024-10-01,AVENUE A,,"1267 AVENUE A, SPRINGFIELD MI 49037","29200 NORTHWESTERN HWY  STE 300, SOUTHFIELD, MI 48034",CALHOUN,2699632652,145,04/05/2021,JEFFREY DAVIDSON,2487025900,jdavidson@cambiomhc.com,42.3255984,-85.2518158,,
262,262,262,1201835,Expired,2024-10-01,HOLIDAY ESTATES MHP,,"46000 GEDDES ROAD, CANTON MI 48188","29200 NORTHWESTERN HWY  STE 300, SOUTHFIELD, MI 48034",WAYNE,7344950500,551,05/10/2021,JEFFREY DAVIDSON,2487025900,jdavidson@cambiomhc.com; kmcdonough@cambiomhc.com,42.27960400000001,-83.4924674,,
263,263,263,1201842,Expired,2024-10-01,SHADY BROOK MOBILE HOME PARK,,"43910 30TH STREET, PAW PAW MI 49079","1800 W WARNER AVE, CHICAGO, IL 60613",VAN BUREN,3127228018,20,06/16/2021,JARED FALCONER,3127228018,jfalconer76@gmail.com,42.260143,-85.844854,,
264,264,264,1201848,Expired,2024-10-01,SUNSET VIEW MOBILE HOME PARK,,"926 HILL STREET, PORTLAND MI 48875","20 SHALLOWBROOK ROAD, MORGANVILLE, NJ 07751",IONIA,8045506892,35,07/02/2021,PRABIN DUTTA,8045506892,pdutta@cosmonetllc.com,42.8617107,-84.8978163,,
265,265,265,1201850,Expired,2024-10-01,WILLOW VILLAGE MOBILE HOME COURT,,"2445 E GRAND RIVER AVE, WILLIAMSTON MI 48895","20 SHALLOWBROOK ROAD, MORGANVILLE, NJ 07751",INGHAM,8045506892,45,07/02/2021,PRABIN DUTTA,8045506892,pdutta@cosmonetllc.com,42.6866265,-84.2639871,,
266,266,266,1201859,Expired,2024-10-01,,,"149 CHARLOTTE STREET, BAD AXE MI 48413","P.O. BOX 130, MARYSVILLE, MI 48040",HURON,8104881155,71,08/17/2021,RICHARD JAHN,8105600028,cutntrim@rocketmail.com,43.8120029,-83.0037741,,
267,267,267,1201868,Expired,2024-10-01,,,"6261 SAGINAW STREET, MT MORRIS MI 48458","P.O. BOX 252678, WEST BLOOMFIELD, MI 48325",GENESEE,2487892335,138,09/17/2021,GERALD BURTON,2487892335,22jerryman@gmail.com,43.096395,-83.698589,,
268,268,268,1201872,Expired,2024-10-01,,,"400 SOUTH STREET, MARCELLUS MI 49067","P.O. BOX 476, OREM, UT 84059",CASS,9729224888,43,09/20/2021,HILARY DEMSKE,9729224888,hdemske@gmail.com,42.0220517,-85.8075259,,
269,269,269,1201876,Expired,2024-10-01,,,"1615 TUPPER LAKE STREET, LAKE ODESSA MI 48849","10455 RIVERSIDE DRIVE, STE. 210, PALM BEACH GARDENS, FL 33410",IONIA,5179302239,87,10/12/2021,AMIN KHOURY,2622157111,kcreager@mcmhomes.us,42.7850377,-85.1298857,,
270,270,270,1201877,Expired,2024-10-01,,,"5080 ST JOSEPH AVE, STEVENSVILLE MI 49127","650 N DEARBORN STREET, STE. 850, CHICAGO, IL 60654",BERRIEN,2694293928,80,10/12/2021,KOLMAN BUBIS,3128883903,info@livetranquilo.com,42.0251735,-86.516181,,
271,271,271,1201884,Expired,2024-10-01,,,"4205 HILLS HAVEN ROAD, BUCHANAN MI 49107","31200 NORTHWESTERN HWY, FARMINGTON HILLS, MI 48334",BERRIEN,2696955148,94,11/03/2021,JOEL BROWN,2486260737,licenses@rhp.com,41.8789212,-86.3576593,,
272,272,272,1201889,Expired,2024-10-01,TOWN AND COUNTRY MOBILE HOME ESTATES,,"51005 OLD MICHIGAN AVE, BELLEVILLE MI 48111","525 WILLIAM PENN PLACE, 28TH FL, PITTSBURGH, PA 15219",WAYNE,2488206962,137,12/02/2021,AKSHITA BANERJEE,203-501-0796,ag@evergreenparke.com,42.254512,-83.5403133,,
273,273,273,1201894,Expired,2024-10-01,,,"4135 DOLAN DRIVE, FLINT MI 48504","PO BOX 249, ENGLEWOOD, NJ 07631",GENESEE,6467794400,216,12/20/2021,SCOTT PISTORIUS,No Phone,MHP@OURHOMESOFAMERICA.COM,43.0644509,-83.7592319,,
274,274,274,1201895,Expired,2024-10-01,,,"1587 PHEASANT RUN DRIVE, FLINT MI 48532","PO BOX 249, ENGLEWOOD, NJ 07631",GENESEE,6467794400,179,12/21/2021,SCOTT PISTORIUS,6467794400,mhp@ourhomesofamerica.com,43.0027942,-83.7603477,,
275,275,275,1201902,Expired,2024-10-01,,,"4599 PIGEON ROAD, ELKTON MI 48731","P.O. BOX 130, MARYSVILLE, MI 48040",HURON,8104881155,36,01/11/2022,RICHARD JAHN,8105600028,cutntrim@rocketmail.com,43.8185615,-83.1611361,,
276,276,276,1201905,Expired,2024-10-01,,,"63381 41ST STREET, PAW PAW MI 49079","1800 W. WARNER AVE., CHICAGO, IL 60613",VAN BUREN,3127228018,45,02/01/2022,JARED FALCONER,3127228018,jfalconer76@gmail.com,42.187697,-85.949963,,
277,277,277,1201908,Expired,2024-10-01,FOUR KORNERS ESTATES,,"100 TAYLOR ROAD, GWINN MI 49841","P.O. BOX 243, GWINN, MI 49841",MARQUETTE,9063491176,14,02/07/2022,THOMAS SCHMELTZER,9063491176,tom@four-korners.com,46.3904142,-87.396433,,
278,278,278,1201911,Expired,2024-10-01,PARK ESTATES,,"51300 MICHIGAN AVENUE, BELLEVILLE MI 48111","1630 GUADALUPE RD, ,  PO BOX 2300GILBERT, AZ 85233",WAYNE,7344813321,128,02/15/2022,THOMAS STAPLEY,4803390000,LICENSING@ROOTSMG.COM,42.2599594,-83.5430266,,
279,279,279,1201916,Expired,2024-10-01,LAKECREST MOBILE HOME PARK,,"661 LAKECREST DRIVE, COLDWATER MI 49036","20203 MAHOGANY RIDGE DRIVE, MAGNOLIA, TX 77355",BRANCH,5172060474,21,02/24/2022,CINNAMON L DULL,5172060474,tcweatherfordllc@gmail.com,41.980878,-85.035061,,
280,280,280,1201920,Expired,2024-10-01,,,"12034 E MICHIGAN AVE, GALESBURG MI 49053","PO BOX 349, CANAL FULTON, MI 44614",KALAMAZOO,2692008037,71,03/03/2022,MATT KAUFFMAN,3304179954,bunkercapital@gmail.com,42.283915,-85.394145,,
281,281,281,1201921,Expired,2024-10-01,TWIN PINES MHP,,"6815 E 11 MILE ROAD, WARREN MI 48092","1450 W PEACHTREE ST. NW #200, ATLANTA, GA 30309",MACOMB,5864735126,140,03/17/2022,MICHELLE OPPELT,9012457602,michelle@openmgmt.com,42.4926831,-83.0364942,,
282,282,282,1201924,Expired,2024-10-01,,,"10987 SILVER LAKE ROAD, SOUTH LYON MI 48178","2804 ORCHARD LAKE ROAD, STE. 203, KEEGO HARBOR, MI 48320",LIVINGSTON,2485148128,27,03/22/2022,TODD ROSENZWEIG,2485148128,todd@squarelakegroup.com,42.4707915,-83.7266115,,
283,283,283,1201925,Expired,2024-10-01,,,"9120 VIENNA ROAD, MT MORRIS MI 48458","1400 BELLEVILLE STREET, RICHMOND, VA 23230",GENESEE,8042051025,380,03/24/2022,ANDY REISINGER,8047677721,areisinger@ctrecap.com,43.1361725,-83.6981928,,
284,284,284,1201926,Expired,2024-10-01,,,"2481 W SHERMAN BLVD., NORTON SHORES MI 49441","1450 W PEACHTREE STREET NW #200, PMB 99344, ATLANTA, GA 30309-2955",MUSKEGON,231-408-3477,116,04/05/2022,MICHELLE OPPELT,901-245-7602,michelle@openmgmt.com,43.2048954,-86.3046088,,
285,285,285,1201927,Expired,2024-10-01,,,"65 S. NORTH AVE., WHITE CLOUD MI 49349","1800 W WARNER AVE, CHICAGO, IL 60613",NEWAYGO,3127228018,47,04/06/2022,JARED FALCONER,3127228018,jfalconer76@gmail.com,43.5525643,-85.778016,,
286,286,286,1201928,Expired,2024-10-01,,,"1527 W STATE STREET, BELDING MI 48809","31550 NORTHWESTERN HWY., STE 220, FARMINGTON HILLS, MI 48334",IONIA,6167940831,150,04/11/2022,ELIAS WEINER,2488650066,,43.0885446,-85.2520031,,
287,287,287,1201930,Expired,2024-10-01,,,"215 NORTH CANAL ROAD, LANSING MI 48917","5050 S SYRACUSE  STE 1200, DENVER, CO 80237",EATON,517-627-8481,230,04/19/2022,JOSHUA SONNE,3034837300,businesslicensing@yescommunities.com,42.7341578,-84.6629823,,
288,288,288,1201932,Expired,2024-10-01,,,"5656 FREEWALD, MILLINGTON MI 48746","4050 W LIBERTY RD, ANN ARBOR, MI 48103",TUSCOLA,7349981423,10,04/28/2022,JOSHUA WARNER,7349981423,kvalentine9087@yahoo.com,43.3340509,-83.5670423,,
289,289,289,1201934,Expired,2024-10-01,,,"414 RUSSELL STREET, ALLEGAN MI 49010","165 DOUGLAS AVE, HOLLAND, MI 49424",ALLEGAN,6164033760,10,05/13/2022,KEVIN RIDLINGTON,616-566-4532,KEVINRIDLINGTON@GMAIL.COM,42.529567,-85.8658452,,
290,290,290,1201939,Expired,2024-10-01,,,"25151 DEQUINDER ROAD, MADISON HEIGHTS MI 48071","5050 S SYRACUSE  STE 1200, DENVER, CO 80237",OAKLAND,248-543-1210,116,05/25/2022,JOSHUA SONNE,3034837300,BUSINESSLICENSING@YESCOMMUNITIES.COM,42.47765990000001,-83.0874717,,
291,291,291,1201941,Expired,2024-10-01,MEADOWBROOK MANOR ESTATES,,"7280 W MT MORRIS RD, FLUSHING MI 48433","1400 BELLEVILLE STREET, RICHMOND, VA 23230",GENESEE,8106392170,401,06/02/2022,ANDY REISINGER,8047677721,AREISINGER@CTRECAP.COM,43.1226619,-83.8254253,,
292,292,292,1201942,Expired,2024-10-01,,,"12060 DIX TOLEDO RD, SOUTHGATE MI 48195","28475 GREENFIELD RD  STE 113#7059, SOUTHFIELD, MI 48076",WAYNE,5673050122,70,06/08/2022,LUKE WOODRUFF,2482344097,LZAGORSKI@BLANKFAMILYCOMMUNITIES.COM,42.2209368,-83.1944087,,
293,293,293,1201944,Expired,2024-10-01,LANDMARK ESTATES MHP,,"21908 DEQUNDRE ROAD, WARREN MI 48091","1450 W PEACHTREE STREET NW #200, ATLANTA, GA 30309",MACOMB,5864735126,110,06/23/2022,MICHELLE OPPELT,9012457602,michelle@openmgmt.com,42.4566521,-83.0823204,,
294,294,294,1201946,Expired,2024-10-01,,,"1055 LINCOLN AVE, HOLLAND MI 49423","1800 W WARNER AVE, CHICAGO, IL 60613",ALLEGAN,3127228018,69,06/24/2022,JARED FALCONER,3127228018,jfalconer76@gmail.com,42.75984039999999,-86.0968634,,
295,295,295,1201947,Expired,2024-10-01,,,"3075 DIX HIGHWAY, LINCOLN PARK MI 48146","P.O. BOX 289, ENGLEWOOD, NJ 07631",WAYNE,647794400,203,06/24/2022,YOUSEF KHALIL,6467794400,mhp@ourhomesofamerica.com,42.24145710000001,-83.1920285,,
296,296,296,1201948,Expired,2024-10-01,,,"624 RIPLEY BLVD., ALPENA MI 49707","P.O. BOX 552, WALLED LAKE, MI 48390",ALPENA,9894647046,65,07/01/2022,VAN MAMULA,2489613278,vmamula@bekdmanagement.com,45.0589321,-83.4523869,,
297,297,297,1201952,Expired,2024-10-01,,,"3170 ORCHARD LAKE ROAD, KEEGO HARBOR MI 48320","217 PIERCE STREET #209, BIRMINGHAM, MI 48009",OAKLAND,2486816798,93,07/25/2022,ARA DARAKJIAN,2483659900,accounting@residentsfirst.com,42.6047191,-83.3472298,,
298,298,298,1201957,Expired,2024-10-01,,,"3341 PORT AUSTIN ROAD, PORT AUSTIN MI 48467","27865 STARLING LANE, FLAT ROACK, MI 48134",HURON,7343410662,12,08/12/2022,KATHLEEN ADKINS,7343410662,369-87-272_,43.996311,-83.125349,,
299,299,299,1201958,Expired,2024-10-01,PINEVIEW MOBILE HOME PARK,,"6385 WHITES BRIDGE RAOD, BELDING MI 48809","108 S LAFAYETTE, GREENVILLE, MI 48838",IONIA,6164819593,20,08/15/2022,WILLIAM TODD VAN ECK,6164819593,tvaneck@applelandrealtygroup.com,43.0793763,-85.2630195,,
300,300,300,1201959,Expired,2024-10-01,,,"11247 PORTAGE ROAD, PORTAGE MI 49002","7505 ASPECT DRIVE, APT. 306, GRANGER, IN 46530",KALAMAZOO,2693480488,81,08/16/2022,PRABHAKORN KITBHOKA,5742996147,portageterracemhp@gmail.com,42.153742,-85.565451,,
301,301,301,1201960,Expired,2024-10-01,BAYSIDE ESTATES,,"2420 PINETREE DRIVE, SEBEWAING MI 48759","P.O. Box 4720, Troy, MI 48099",HURON,2482141811,74,08/16/2022,ADAM SCHWERIN,2489189082,aschwerin@birchrealty.com,43.757481,-83.428863,,
302,302,302,1201968,Expired,2024-10-01,BAY CITY MHP,,"2836 E BISCAYNE ROAD, BAY CITY MI 48706","4007 DEAN MARTIN DRIVE, LAS VEGAS, NV 89103",BAY,7022419430,61,09/01/2022,TIM WILKINS,No Phone,tim@patriotholdings.com,43.6461828,-83.9371858,,
303,303,303,1201972,Expired,2024-10-01,,,"410 W PINE STREET, STANTON MI 48888","5820 HEMPSTEAD ROAD, OXFORD, MI 48371",MONTCALM,3134690951,52,09/20/2022,MICHAEL CALIN,5862141169,mcalin@mhpglobal.net,43.2959021,-85.0873508,,
304,304,304,1201974,Expired,2024-10-01,EAGLES LANDING ESTATES,,"2335 PECK ROAD, CROSWELL MI 48422","9645 MEADOWLARK CT., FREELAND, MI 48623",SANILAC,9896008258,235,09/28/2022,CHARLES JOHNSTON,4802519237,charles2000mhp@gmail.com,43.2612171,-82.7144598,,
305,305,305,1201976,Expired,2024-10-01,,,"6400 S DIXIE HWY, ERIE MI 48133","6400 S DIXIE HWY, ERIE, MI 48133",MONROE,3748482251,351,10/04/2022,STEPHANIE STEER,7348482251,hiddencreek@umh.com,41.73633710000001,-83.5283811,,
306,306,306,1201982,Expired,2024-10-01,,,"10845 PERCY LANE, MECOSTA MI 49332","7390 BRONCO DRIVE, CALEDONIA, MI 49316",MECOSTA,5176301189,36,10/14/2022,DON BURKE,5176301189,,43.6240978,-85.3141165,,
307,307,307,1201983,Expired,2024-10-01,SIDE O LAKE RESORT,,"15301 LAKESHORE DRIVE NE, GOWEN MI 49326","470 3RD STREET SOUTH #409, ST PETERSBURG, FL 33701",KENT,2488954603,45,10/14/2022,JAVIER DIAZ,2488954603,jdiaz@mhpplace.com,43.2636249,-85.3309896,,
308,308,308,1201987,Expired,2024-10-01,,,"6385 N MONROE STREET, MONROE MI 48162","956 YORKSHIRE APT A, LIMA, OH 45804",MONROE,9893137829,29,10/27/2022,JOSEPH SCHIAVONE,9899808681,joseph@cmhcapitalinc.com,41.9697158,-83.3749949,,
309,309,309,1201988,Expired,2024-10-01,,,"12337 LAIRD ROAD, BROOKLYN MI 49230","12337 LAIRD ROAD, BROOKLYN, MI 49230",LENAWEE,5174674200,98,10/27/2022,ROBERT M PROCHKO,5174162552,vanyaphonic@gmail.com,42.0366544,-84.2329941,,
310,310,310,1201989,Expired,2024-10-01,,,"10400 PEWAMO, PEWAMO MI 48873","28475 GREENFIELD RD  STE 113#7059, SOUTHFIELD, MI 48076",IONIA,9377413647,50,10/27/2022,LUKE ZAGORSKI,2482344097,LZAGORSKI@BLANKFAMILYCOMMUNITIES.COM,43.0019505,-84.8683944,,
311,311,311,1201991,Expired,2024-10-01,,,"2195 E GRAND RIVER AVE, HOWELL MI 48843","28475 GREENFIELD RD  STE 113#7059, SOUTHFIELD, OH 48076",LIVINGSTON,9893137829,60,11/09/2022,LUKE ZAGORSKI,7408154713,LZAGORSKI@BLANKFAMILYCOMMUNITIES.COM,42.6012683,-83.9099037,,
312,312,312,1201992,Expired,2024-10-01,,,"4021 PECK ROAD, CROSWELL MI 48422","9645 MEADOWLARK CT, FREELAND, MI 48623",SANILAC,9896008258,111,11/10/2022,CHARLES JOHNSTON,4802519237,charles2000mhp@gmail.com,43.2652131,-82.6472087,,
313,313,313,1201995,Expired,2024-10-01,,,"4869 N BRIGHTON CIRCLE, GRAYLING MI 49738","7020 WHITMORE LAKE ROAD, WHITMORE LAKE, MI 48189",CRAWFORD,7347323789,49,12/07/2022,LARRY GOTCHER,7347323789,teamgotcher@gmail.com,44.709562,-84.7038202,,
314,314,314,1201997,Expired,2024-10-01,UPPER HAND RENTALS,,"908 ARBUTUS AVE, MANISTIQUE MI 49854","3625 21st ROAD, GLADSTONE, MI 49837",SCHOOLCRAFT,9063392852,11,12/22/2022,PATRICE KIDD,9063992852,upperhandrentals@gmail.com,45.95266059999999,-86.2285467,,
315,315,315,1202001,Expired,2024-10-01,,,"23765 LAWERENCE AVE, WARREN MI 48091","2973 HARBOR BLVD., #580, COSTA MESA, CA 92626",MACOMB,5867568280,126,01/06/2023,JASON JANDA,9203225151,jason@mhcommunities.com,42.4685434,-83.0331377,,
316,316,316,1202002,Expired,2024-10-01,HUNTERS CREEK MANUFACTURED HOME COMMUNITY,,"725 DEMILLE ROAD, LAPEER MI 48446","4956 N. 300 W., STE. 200, PROVO, UT 84604",LAPEER,8106673098,402,01/24/2023,NATE NELSON,8013672703,MM@KMCMH.COM,43.03889909999999,-83.313465,,
317,317,317,1202006,Expired,2024-10-01,,,"401 KENNEALLY BLVD, GLADSTONE MI 49837","160 CONGRESS PARK DRIVE, STE. 214, DELRAY BEACH, FL 33445",DELTA,5612787073,102,01/31/2023,MICHAEL GOTTLIEB,5618273333,manufacturedhousinggroup@gmail.com,45.83543179999999,-87.0520023,,
318,318,318,1202007,Expired,2024-10-01,SUBURBAN ESTATE MOBILE HOME PARK,,"7230 SUBURBAN DRIVE, TRAVERSE CITY MI 49685","11100 SANTA MONICA BOULEVARD, STE. 260, LOS ANGELES, CA 90025",GRAND TRAVERSE,7602079080,75,02/02/2023,KYLE STONER,No Phone,kstoner@stonerconsultinginc.com,44.7457345,-85.7189613,,
319,319,319,1202010,Expired,2024-10-01,,,"1800 E. JORDAN ROAD, MT PLEASANT MI 48858","PO BOX 349, CANAL FULTON, MI 44614",ISABELLA,9899440124,46,03/03/2023,MATTHEW KAUFFMAN,3304179954,matt@bunkercapitalllc.com,43.65363120000001,-84.8139713,,
320,320,320,1202012,Expired,2024-10-01,MUNGER MOBILE HOMES,,"4785 MUNGER ROAD, YPSILANTI MI 48197","4279 SILVER LEAF DRIVE, YPSILANTI, MI 48197",WASHTENAW,7343300047,20,03/23/2023,HESHAM ABED,7342772105,johnabed2007@yahoo.com,42.2188558,-83.6592482,,
321,321,321,1202014,Expired,2024-10-01,HILLSIDE ACRES MHC,,"5200 BANKERS ROAD, READING MI 49274","1252 N EAGLE LAKE DRIVE, KALAMAZOO, MI 49009",HILLSDALE,5176170880,42,04/06/2023,ASH PATEL,No Phone,ASH@4AMANAGEMENT.COM,41.8839546,-84.7129707,,
322,322,322,1202018,Expired,2024-10-01,,,"3462 E ROSEBUSH ROAD, ROSEBUSH MI 48878","P.O. BOX 1526, NOVI, MI 48376",ISABELLA,9893869417,14,04/14/2023,DAVID LUNDGREN,3134341701,pleasantvalleyest@gmail.com,43.697612,-84.779041,,
323,323,323,1202022,Expired,2024-10-01,PINE AIRE MOBILE HOME PARK LLC,,"5480 ALPINE AVE NW, COMSTOCK PARK MI 49321","PO BOX 249, ENGLEWOOD, NJ 07631",KENT,6467794400,81,05/02/2023,BRYON FIELDS JR,6467794400,MHP@OURHOMESOFAMERICA.COM,43.0634369,-85.6889619,,
324,324,324,1202025,Expired,2024-10-01,WASHBURN LAKE VILLAGE MHC,,"59502 LONG LAKE ROAD, COLON MI 49040","1252 N EAGLE LAKE DRIVE, KALAMAZOO, MI 49009",ST JOSEPH,5176170880,43,06/13/2023,ASH PATEL,No Phone,ASH@4AMANAGEMENT.COM,41.9346101,-85.3329762,,
325,325,325,1202026,Expired,2024-10-01,BARRON LAKE AND ROSEBUSH ESTATES,,"1318 ZILKE ROAD, CASS MI 49120","P.O. BOX 349, CANAL FULTON, OH 44614",CASS,2698454031,20,06/14/2023,MATTHEW KAUFFMAN,3304179954,bunkercapital@gmail.com,41.8526618,-86.1965664,,
326,326,326,1202027,Expired,2024-10-01,BARRON LAKE AND ROSEBUSH ESTATES,,"2423 DICK STREET, NILES MI 49120","P.O. BOX 349, CANAL FULTON, OH 44614",CASS,No Phone,30,06/14/2023,MATTHEW KAUFFMAN,3304179954,BUNKERCAPITAL@GMAIL.COM,41.8483764,-86.2013058,,
327,327,327,1202028,Expired,2024-10-01,,,"1804 WEST 18TH STREET, SAULT STE MARIE MI 49783","111 2ND AVE. NE, STE. 202B, SAINT PETERSBURG, FL 33701",CHIPPEWA,9062031670,154,06/15/2023,ANGELINA BALABAN,7379148740,angelina@birchrealty.com,46.4831325,-84.4042441,,
328,328,328,1202033,Expired,2024-10-01,LAKEVIEW TRAILER COURT,,"320 CEDAR STREET, SANFORD MI 48657","P.O. BOX 252678, WEST BLOOMFIELD, MI 48325",MIDLAND,2487892335,18,07/06/2023,GERALD BURTON,2487892335,22jerryman@gmail.com,43.6756719,-84.3805247,,
329,329,329,1202035,Expired,2024-10-01,,,"3812 POINTE TREMBLE ROAD, ALGONAC MI 48001","P.O. BOX 46399, MT. CLEMENS, MI 48046",ST CLAIR,5868848416,32,07/18/2023,CHRISTOPHER NORTLEY,5868848416,chris@myplacecommunities.com,42.6202947,-82.5608314,,
330,330,330,1202036,Expired,2024-10-01,,,"9600 NOOK ROAD, ST CLAIR MI 48001","P.O. BOX 46399, MT CLEMENS, MI 48046",ST CLAIR,5868848416,45,07/18/2023,CHRISTOPHER NORTLEY,5868848416,chris@myplacecommunities.com,42.6211031,-82.5532583,,
331,331,331,1202037,Expired,2024-10-01,,,"3201 S EUCLID AVENUE, BAY CITY MI 48706","31550 NORTHWESTERN HIGHWAY, STE. 220, FARMINGTON HILLS, MI 48334",BAY,9896863810,150,07/28/2023,ELIAS WEINER,2488650066,kcunningham@mshapirorealestate.com,43.5679605,-83.9158615,,
332,332,332,1202038,Expired,2024-10-01,OAK FOREST,,"20 POWELL STREET, BATTLE CREEK MI 49014","525 WILLIAM PENN PLACE, 28TH FL, PITTSBURGH, PA 15219",CALHOUN,2035010796,95,08/01/2023,AKSHITA BANERJEE,2035010796,compliance@evergreenparke.com,42.324456,-85.1307843,,
333,333,333,1202040,Expired,2024-10-01,ALANSON ESTATES,,"6760 S PROSPECT, ALANSON MI 49706","PO BOX 206, WILLIAMSBURG, MI 49690",EMMET,2317153870,20,08/10/2023,CLAYTON COOKE,2317090527,jckcent@gmail.com,45.4552833,-84.784997,,
334,334,334,1202045,Expired,2024-10-01,,,"1811 N. TELEGRAPH ROAD, MONROE MI 48162","847 SUMPTER ROAD #5228, BELLEVILLE, MI 48111",MONROE,7347044038,76,08/25/2023,KALYAN JONNALAGADDA,5863226714,KELLY@LOTUSCAPITALCRE.COM,41.9472607,-83.40264,,
335,335,335,1202046,Expired,2024-10-01,GROVELAND MANOR MHC,,"13318 SOUTH DIXIE HWY, HOLLY MI 48442","5050 S SYRACUSE ST., STE. 1200, DENVER, CO 80237",OAKLAND,2486349791,186,08/30/2023,JOSHUA SONNE,3034837300,businesslicensing@yescommunties.com,42.8403033,-83.565297,,
