Record_No,DBA,Location_Address,Total_#_Sites,House district,Senate district
1201972,,"410 W PINE STREET, STANTON MI 48888",52,91,33
1201974,EAGLES LANDING ESTATES,"2335 PECK ROAD, CROSWELL MI 48422",235,98,25
1201976,,"6400 S DIXIE HWY, ERIE MI 48133",351,30,16
1201982,,"10845 PERCY LANE, MECOSTA MI 49332",36,100,34
1201983,SIDE O LAKE RESORT,"15301 LAKESHORE DRIVE NE, GOWEN MI 49326",45,91,33
1201987,,"6385 N MONROE STREET, MONROE MI 48162",29,28,16
1201988,,"12337 LAIRD ROAD, BROOKLYN MI 49230",98,34,16
1201989,,"10400 PEWAMO, PEWAMO MI 48873",50,93,33
1201991,,"2195 E GRAND RIVER AVE, HOWELL MI 48843",60,50,22
1201992,,"4021 PECK ROAD, CROSWELL MI 48422",111,98,25
1201995,,"4869 N BRIGHTON CIRCLE, GRAYLING MI 49738",49,105,36
1201997,UPPER HAND RENTALS,"908 ARBUTUS AVE, MANISTIQUE MI 49854",11,108,38
1202001,,"23765 LAWERENCE AVE, WARREN MI 48091",126,14,3
1202002,HUNTERS CREEK MANUFACTURED HOME COMMUNITY,"725 DEMILLE ROAD, LAPEER MI 48446",402,67,26
1202006,,"401 KENNEALLY BLVD, GLADSTONE MI 49837",102,108,38
1202007,SUBURBAN ESTATE MOBILE HOME PARK,"7230 SUBURBAN DRIVE, TRAVERSE CITY MI 49685",75,103,37
1202010,,"1800 E. JORDAN ROAD, MT PLEASANT MI 48858",46,92,34
1202012,MUNGER MOBILE HOMES,"4785 MUNGER ROAD, YPSILANTI MI 48197",20,32,15
1202014,HILLSIDE ACRES MHC,"5200 BANKERS ROAD, READING MI 49274",42,35,17
1202018,,"3462 E ROSEBUSH ROAD, ROSEBUSH MI 48878",14,92,34
1202022,PINE AIRE MOBILE HOME PARK LLC,"5480 ALPINE AVE NW, COMSTOCK PARK MI 49321",81,90,30
1202025,WASHBURN LAKE VILLAGE MHC,"59502 LONG LAKE ROAD, COLON MI 49040",43,36,17
1202026,BARRON LAKE AND ROSEBUSH ESTATES,"1318 ZILKE ROAD, CASS MI 49120",20,37,17
1202027,BARRON LAKE AND ROSEBUSH ESTATES,"2423 DICK STREET, NILES MI 49120",30,37,17
1202028,,"1804 WEST 18TH STREET, SAULT STE MARIE MI 49783",154,107,37
1202033,LAKEVIEW TRAILER COURT,"320 CEDAR STREET, SANFORD MI 48657",18,95,34
1202035,,"3812 POINTE TREMBLE ROAD, ALGONAC MI 48001",32,63,12
1202036,,"9600 NOOK ROAD, ST CLAIR MI 48001",45,63,12
1202037,,"3201 S EUCLID AVENUE, BAY CITY MI 48706",150,96,35
1202038,OAK FOREST,"20 POWELL STREET, BATTLE CREEK MI 49014",95,45,18
1202040,ALANSON ESTATES,"6760 S PROSPECT, ALANSON MI 49706",20,107,37
1202045,,"1811 N. TELEGRAPH ROAD, MONROE MI 48162",76,29,16
1202046,GROVELAND MANOR MHC,"13318 SOUTH DIXIE HWY, HOLLY MI 48442",186,68,24
1202051,HARDY PARK,"3531 ANTOR ROAD, NEWAYGO MI 49337",56,101,33
1202053,,"2198 E MOUNT MORRIS ROAD, MOUNT MORRIS MI 48458",391,67,26
1202055,,"135 N JANE STREET, CENTREVILLE MI 49032",83,36,17
1202057,TWIN MEADOWS,"1021 E SCOTTWOOD AVE, BURTON MI 48529",105,70,27
1202058,,"8025 S HURON RIVER DRIVE SOUTH, SOUTH ROCKWOOD MI 48179",50,28,16
1202061,,"3665 EASTERN AVE SE, WYOMING MI 49508",43,83,29
1202062,,"6006 EASTERN AVE SE, GRAND RAPIDS MI 49548",49,79,20
1202063,,"5720 EAST WASHINGTON ROAD, SAGINAW MI 48601",511,97,35
1202065,,"13401 84TH AVE, COOPERSVILLE MI 49404",52,89,30
1202068,FORNICOLA MHP,"2501 ASHMUN STREET, SAULT STE MARIE MI 49783",66,107,37
1202069,,"3921 W. MICHIGAN AVE, JACKSON MI 49202",40,46,14
1202070,PINE FOREST MOBILE HOME PARK,"7105 W VIENNA ROAD, CLIO MI 48420",50,NA,NA
1202071,SUNSET MHP,"1470 HARPER ROAD, MASON MI 48854",35,NA,NA
1202072,,"114 B STREET, CADILLAC MI 49601",98,NA,NA
1202075,TWIN PINES MHC WEST BRANCH,"1766 RAU ROAD, WEST BRANCH MI 48661",33,NA,NA
1202076,SAGINAW VALLEY MHC,"6160 DAVID ROAD, SAGINAW MI 48604",179,NA,NA
1202077,,"4975 SOUTH M-37 HWY, HASTINGS MI 49058",62,NA,NA
1202079,AMBER ESTATES MOBILE HOME PARK,"3460 47TH STEET, HAMILTON MI 49419",50,NA,NA
1200001,CEDARBROOK ESTATES,"323 LEGRAND BLVD., WHITE LAKE TWP., MI 48383",691,51,23
1200002,,"595 S MERIDIAN RD, HUDSON MI 49247",100,34,16
1200008,STERLING ESTATES,"43475 LAGRAND, STERLING HEIGHTS, MI 48078",760,57,9
1200009,,"41 REVERE, DAVISON, MI 48423",386,68,26
1200015,HICKORY HILLS VILLAGE,"10450 SIX MILE ROAD, BATTLE CREEK, MI 49017",283,45,18
1200022,JUNES MOBILE VILLAGE,"395 LABADIE COURT, ECORSE, MI 48229",146,2,1
1200025,INDIAN ACRES MOBILE HOME PARK,"770 129TH AVE. R#2, SHELBYVILLE, MI 49344",35,43,18
1200027,ALLEGAN MOBILE ESTATES,"1260 LINCOLN ROAD, ALLEGAN, MI 49010",42,43,20
1200028,DEARBORN TRAILER PARK,"21851 WEST WARREN, DEARBORN HEIGHTS, MI 48127",47,15,2
1200030,HOMECREST VILLA MOBILE HOME PARK,"3382 MONROE ROAD, ALLEGAN, MI 49010",58,43,20
1200031,WHITE PINE ESTATES,"PAUL DRIVE, MESICK, MI 49668",33,101,36
1200033,BUENA VISTA ESTATES,"17330 HONOR HWY, INTERLOCHEN, MI 49643",68,104,32
1200037,,"12176 14 MILE ROAD, GREENVILLE, MI 48838",22,91,33
1200038,BEDFORD HILLS,"110 BEJAC CIRCLE DR, BATTLE CREEK, MI 49037",340,44,18
1200041,LINCOLN ESTATES,"1139 LINCOLN AVENUE, HOLLAND, MI 49423",192,86,31
1200047,,"43400 LENFESTY, MT. CLEMENS, MI 48043",299,62,12
1200049,ANDREWS TRAILER COURT,"1202 WEST M-89, PLAINWELL, MI 49080",36,42,18
1200051,LEISURE VILLAGE,"5305 CIRCLE DR, BELMONT MI 49306",258,90,30
1200054,,"10364 DAVISON ROAD, DAVISON, MI 48423",26,68,26
1200055,,"12400 NORTH SAGINAW STREET, CLIO, MI 48420",29,69,27
1200057,,"28745 VAN BORN ROAD, ROMULUS, MI 48174",225,26,4
1200059,JOHNSON VILLAGE MOBILE HOME PARK,"2734 BLUE STAR HWY R#2, FENNVILLE MI 49408",75,NA,NA
1200061,,"638 NORTH MCKINLEY ROAD, FLUSHING, MI 48433",59,69,27
1200064,GRAND MOBILE VILLAGE,"6500 DIVISION AVENUE, GRAND RAPIDS, MI 49508",328,79,20
1200071,,"22600 MIDDLEBELT RD, FAARMINGTON HILLS MI 48024",226,18,6
1200074,,"3501 AUBURN ROAD, AUBURN HEIGHTS, MI 48057",162,101,36
1200076,,"3800 FRUIT RIDGE ROAD, GRAND RAPIDS, MI 49504",403,90,30
1200083,,"1485 RIDGEVIEW DR, LAPEER MI 48446",200,67,26
1200088,,"1540 LAPEER RD., OXFORD, MI 48371",320,66,24
1200102,,"885 S STATE STREET, CARO MI 48723",63,97,25
1200105,VILLAGE EAST MOBILE HOME PARK,"1258 LINCOLN ROAD, ALLEGAN, MI 49010",94,43,20
1200109,,"1066 LINDA LANE, MADISON HEIGHTS MI 48071",123,57,3
1200118,,"20832 TUCK ROAD, FARMINGTON HILLS, MI 48024",158,18,6
1200120,ECKERTS MOBILE HOME COURT,"2324 ELEVEN MILE ROAD BOX 2, WARREN, MI 48091",77,14,3
1200121,COUNTRY ACRES MOBILE HOME PARK,"5904 142ND AVE, HOLLAND MI 49423",113,43,31
1200128,,"23680 SANDPIPER DRIVE, CLINTON TOWNSHIP, MI 48036",633,61,12
1200137,SHADY OAKS MOBILE HOME PARK,"6168 W M-80, KINROSS MI 49752",14,108,38
1200138,,"20741 TUCK ROAD, FARMINGTON, MI 48024",34,18,6
1200139,BYRON CENTER,"2680 84TH STREET, BYRON CENTER, MI 49315",143,79,20
1200140,,"6471 SO. DIVISION, GRAND RAPIDS, MI 49508",284,80,29
1200149,,"3500 WEST JEFFERSON, TRENTON, MI 48183",65,27,4
1200150,SWARTZ CREEK MEADOWS,"4101 SHERIDAN ROAD, LENNON, MI 48449",608,69,27
1200152,TIMBERLINE ESTATES,"260 PIN OAK DRIVE, COOPERSVILLE, MI 49404",303,89,30
1200162,,"10080 US 23 NORTH, ALPENA, MI 49707",12,106,36
1200165,,"588 48TH SE, KENTWOOD MI 49508",334,80,29
1200169,HAWAIIAN GARDENS,"4261 GRANGE HALL ROAD, HOLLY, MI 48442",233,72,22
1200185,,"15851 WHITE CREEK AVENUE, CEDAR SPRINGS, MI 49319",177,91,33
1200189,WHITE LAKE MOBILE HOME VILLAGE,"1415 FISK ROAD, WHITE LAKE, MI 48386",315,51,23
1200191,KINGS COURT,"1585 RAY BLVD, TRAVERSE CITY, MI 49686",803,103,37
1200193,,"400 NOTRE DAME BLVD., ROMEO, MI 48065",98,66,24
1200205,PAW PAW LAKE MOBILE HOME PARK,"5259 NORTH WATERVLIET RD, WATERVLIET, MI 49098",49,39,20
1200207,TOPAZ ESTATES,"2100 135TH AVENUE, HOPKINS, MI 49328",46,43,20
1200212,EVERGREEN MOBILE HOME COMMUNITY,"2096 N STATE RD, IONIA MI 48846",109,78,33
1200215,,"1925 LAURA ST, ALLEGAN, MI 49010",75,43,20
1200216,,"6737 NORTHLAND DRIVE, ROCKFORD, MI 49341",170,90,30
1200217,CROSWELL ESTATES,"20 BLACK RIVER ROAD, CROSWELL, MI 48422",42,98,25
1200224,TOWN & COUNTRY,"849 MANOR, TRAVERSE CITY, MI 49684",192,103,37
1200225,WOODLAND ESTATES MANUFACTURED HOUSING COMMUNITY,"1600 S 30TH ST, ESCANABA MI 49829",226,108,38
1200228,EVERGREEN ESTATES,"2158 W CARO RD, CARO MI 48723",93,97,25
1200235,KNOLLWOOD ESTATES,"4595 KNOLLWOOD DRIVE, ALLENDALE, MI 49401",161,89,30
1200239,SUNNYSIDE PARK,"2740 PACKARD, ANN ARBOR, MI 48108",53,33,15
1200244,,"530 LANIER, SOUTH LYON, MI 48178",211,23,23
1200247,ALANS PARK,"3575 NICHOLSON RD, FOWLERVILLE, MI 48836",199,50,22
1200250,,"26115 THIRD STREET, TAYLOR, MI 48180",269,29,1
1200255,,"46537 ECORSE, BELLEVILLE, MI 48111",37,31,4
1200261,,"2330 E. MAIN ST., NILES, MI 49120",110,37,17
1200263,SUN CAMELOT VILLA,"17111 HALL ROAD, MACOMB, MI 48044",712,60,11
1200277,KENSINGTON PLACE,"60501 GRAND RIVER AVENUE, NEW HUDSON, MI 48165",488,49,23
1200279,,"10692 N BLACK RIVER RD., CHEBOYGAN, MI 49721",8,106,37
1200280,,"7550 BEECH DALY, TAYLOR, MI 48180",114,29,1
1200282,,"5649 S. VERNON RD., DURAND, MI 48429",44,71,28
1200283,SYCAMORE VILLAGE,"900 W COLUMBIA ST, MASON, MI 48854",449,73,21
1200287,,"16940 SOUTH OAKLEY ROAD, CHESANING, MI 48616",125,71,34
1200291,,"400 WEST GRAND RIVER AVENUE, WEBBERVILLE, MI 48892",174,73,22
1200293,GRIEVES TRAILER PARK,"178 WASHINGTON STREET, SARANAC, MI 48881",4,78,18
1200304,,"2265 WEST PARKS ROAD - LOT 1, ST. JOHNS, MI 48879",216,75,28
1200314,,"2701 WEST LONG LAKE ROAD, ORLEANS, MI 48865",27,91,33
1200316,,"8924 WEST LONG LAKE ROAD, ALPENA, MI 49707",58,106,36
1200317,LAKEVIEW MOBILE HOME PARK,"9910 GERALDINE STREET, YPSILANTI, MI 48197",392,32,15
1200323,,"415 WEST CHICAGO ROAD, COLDWATER, MI 49036",62,35,17
1200330,DUNLOPS ORCHARD PARK,"12703 WEST PINE LAKE ROAD, PLAINWELL, MI 49080",22,43,18
1200333,,"4840 ALPINE AVENUE NW, COMSTOCK PA 49321",118,90,30
1200341,COUNTRY VILLAGE MOBILE HOME ESTATES,"7781 WEST GRAND RIVER, GRAND LEDGE, MI 48837",75,77,28
1200342,COUNTRY VILLAGE ESTATES,"2701 I-75 BUSINESS LOOP, WEST BRANCH MI 48661",53,99,36
1200344,,"6600 PORTAGE LAKE ROAD, MUNITH, MI 49259",250,48,14
1200345,,"14253 EAST ON AVENUE, CLIMAX, MI 49034",75,45,18
1200348,,"3205 DOUGLAS AVE, KALAMAZOO MI 49007",150,41,19
1200349,,"3998 SUNSET DRIVE, BROOKLYN, MI 49230",149,47,14
1200352,,"121 SPLIT RAIL TRAIL, HANOVER, MI 49241",94,45,14
1200353,GLENVIEW MOBILE HOME PARK,"4090 JACKSON RD, SARANAC, MI 48881",13,78,18
1200357,COLONIAL ACRES MHC,"5374 E DEADWOOD DRIVE, KALAMAZOO MI 49002",612,41,19
1200359,,"817 NORTH CLINTON, GRAND LEDGE, MI 48837",168,77,21
1200367,GLENN WOOD MOBILE VILLAGE,"2526 MORRISSEY, WARREN, MI 48090",147,14,3
1200377,MOBILEHOME BEACH,"92441 LAKE SHORE DR, LAWTON, MI 49065",29,39,20
1200378,LAWRENCE MOBILE HOME PARK,"175 CORWIN, LAWRENCE, MI 49064",60,39,20
1200384,KLINES RESORT & MOBILE HOME PARK,"22460 KLINES RESORT RD R#2, THREE RIVERS MI 49093",159,36,17
1200386,COLONIAL ESTATES MANUFACTURED HOME COMMUNITY,"501 N US WAY 131 #9, WHITE PIGEON MI 49099",112,36,17
1200392,,"24995 US 12 EAST, EDWARDSBURG, MI 49112",106,36,17
1200397,,"240 S MT TOM RD, MIO MI 48647",9,105,36
1200403,,"25214 GRATIOT AVE, ROSEVILLE MI 48066",166,12,11
1200405,LAKEVIEW MOBILE HOME ESTATES,"R#2 INDIAN LAKE, EAU CLAIRE, MI 49111",18,37,17
1200409,,"2315 EAST RIVER ROAD, TWIN LAKE, MI 49457",302,87,32
1200415,APPLE CARR VILLAGE,"516 COURTLAND, MUSKEGON, MI 49442",716,89,32
1200422,WESTPHALIA TRAILER COURT,"13606 JASON RD., WESTPHALIA MI 48894",8,77,28
1200430,WILLOW GREEN MOBILE HOME COMMUNITY,"2033 N OUTER DR, MONROE MI 48161",586,30,16
1200436,MEADOWBROOK ESTATES MANUFACTURED HOME COMMUNITY,"1250 STRANDWYCK, MONROE, MI 48161",455,30,16
1200437,,"6230 LEWIS, TEMPERENCE MI 48182",518,30,16
1200440,ALLENDALE MEADOWS,"11400 BOYNE BLVD., ALLENDALE, MI 49401",352,89,30
1200441,,"2250 OTTAWA BEACH ROAD, HOLLAND, MI 49424",45,86,31
1200442,MAPLE VIEW,"1984 92ND AVENUE, ZEELAND, MI 49464",93,85,31
1200443,MICHIANA MOBILE HOME PARK,"135 SOUTH NOTTAWA, NOTTAWA, MI 49075",40,36,17
1200447,,"3768 PINE ISLAND DR., LOT 9, HOLTON, MI 49425",30,102,32
1200451,WHISPERING PINES ESTATES,"R#4 PHOENIX ROAD, SOUTH HAVEN, MI 49090",50,38,20
1200452,LEXINGTON NORTH SHORES,"5203 MAIN STREET, LEXINGTON, MI 48450",232,98,25
1200454,,"13323 NORTHLAND DRIVE, CEDAR SPRINGS, MI 49319",71,91,33
1200455,,"7825 CANNONSBURG ROAD, ROCKFORD, MI 49341",29,90,33
1200463,WEST POINT HILLS,"24878 25TH STREET, MATTAWAN, MI 49071",377,39,19
1200464,WINDMILL PARK,"1433 EIFERT ROAD, HOLT, MI 48842",484,74,21
1200470,VALLEY SPRINGS MOBILE HOME PARK,"4723 NORTH HARTEL ROAD, POTTERVILLE, MI 48876",81,76,21
1200471,,"4084 WEST STANLEY RD., MT. MO 48458",480,NA,NA
1200473,FLAT ROCK VILLAGE,"11150 TELEGRAPH ROAD, CARLETON, MI 48117",332,29,32
1200474,,"7725 SUMMERFIELD RD, LAMBERTVILLE MI 48144",28,30,16
1200475,FAIRVIEW ESTATES,"1401 NORTH 23RD STREET, ESCANABA, MI 49829",154,108,38
1200489,,"3785 EVANSTON AVE, MUSKEGON MI 49442",660,87,32
1200494,RUDGATE MANOR MOBILE HOME PARK,"5150 RUDGATE BLVD, STERLING HEIGHTS, MI 48078",931,57,9
1200495,PRESIDENTIAL ESTATES,"5075 PRESIDENTIAL LANE, HUDSONVILLE, MI 49426",364,85,31
1200501,EMERALD ESTATES,"236 JONES ST, GRANT, MI 49327",31,101,33
1200502,,"1215 LOCUST STREET, FREMONT, MI 49412",84,101,33
1200504,,"927 LAKE DRIVE, FREMONT, MI 49412",55,101,33
1200511,EVERGREEN ESTATES MOBILE HOME PARK,"532 WEST CHICAGO ROAD, JONESVILLE, MI 49250",108,35,16
1200518,,"1625 VINECROFT NW, GRAND RAPIDS, MI 49504",43,84,30
1200527,GLEN-AIRE MOBILE HOME PARK,"1153 WEST GLENLORD ROAD, ST. JOSEPH, MI 49085",130,38,20
1200531,NORTH SHORES ESTATES MOBILE HOME PARK,"1565 M-63 NORTH #33, BENTON HARBOR, MI 49022",99,38,20
1200538,,"1700 ROBBINS RD. #301, GRAND HAVEN, MI 49417",391,88,31
1200547,FRENCHTOWN VILLA,"1250 PAREE AVENUE, NEWPORT, MI 48166",749,28,16
1200553,CLARKSTON LAKES MOBILE HOME COMMUNITY,"4260 DOGWOOD BOULEVARD, CLARKSTON, MI 48016",498,66,24
1200588,KEY HEIGHTS VILLAGE,"11335 EAST FULTON, LOWELL, MI 49331",286,78,18
1200589,,"135 SOUTH MAIN, KENT CITY, MI 49330",74,89,33
1200594,EAGLE LAKE ESTATES MOBILE HOME PARK,"24050 NORTH SHORE DR #93, EDWARDSBURG MI 49112",92,36,17
1200599,,"3096 CAMELOT DR, FLINT MI 48507",319,70,27
1200600,HI-WAY MOBILE HAVEN,"2600 LANSING ROAD, CHARLOTTE, MI 48813",67,76,21
1200604,DOUGLAS MOBILE ESTATES,"BLUE STAR HWY, DOUGLAS MI 49406",97,NA,NA
1200606,,"13400 CORNELL RD, CONCORD MI 49224",19,45,17
1200616,,"4118 SOUTH SEEGER STREET, CASS CITY MI 48726",14,98,25
1200622,HURON SHORES MANUFACTURED HOME COMMUNITY,"144 SHORELINE EAST, PORT SANILAC, MI 48469",192,98,25
1200629,SHANGRI LA VILLAGE MOBILE HOME COMMUNITY,"6900 SOUTH RIVER ROAD, MARINE CITY, MI 48039",271,63,25
1200630,HIGHLAND HILLS ESTATES,"25600 SEELEY, NOVI, MI 48050",198,21,13
1200633,NOTTINGHAM FOREST MHC,"1665 M32 WEST, GAYLORD, MI 49735",74,105,36
1200637,,"310 48TH STREET, S.E., GRAND RAPIDS, MI 49548",155,80,29
1200651,FENNERS MOBILE VILLAGE,"4172 LAPEER ROAD, PORT HURON, MI 48060",35,64,25
1200655,,"12675 COLBY LAKE ROAD, LAINGSBURG, MI 48848",44,75,28
1200658,,"4600 W. BRITTON ROAD, PERRY, MI 48872",360,71,28
1200666,,"606 BJORNSON STREET, BIG RAPIDS, MI 49307",137,100,34
1200670,,"5100 LITTLE PAW PAW LAKE ROAD, COLOMA, MI 49038",160,39,20
1200678,TELA VALLEY MHC,"17707 TELEGRAPH ROAD, BROWNSTOWN MI 48174",487,28,4
1200681,VACATION VILLAGE MOBILE HOME PARK,"509 LAKE, ELK RAPIDS, MI 49629",64,104,37
1200683,,"7345 MILL STREET, VANDERBILT, MI 49795",20,105,36
1200684,,"SANDS STREET AT RUSH STREET, PENTWATER, MI 49449",40,102,32
1200685,,"271 N. EASTWOOD, HART, MI 49420",63,102,32
1200687,,"316 WEST MICHIGAN AVENUE, CLINTON, MI 49236",172,33,15
1200695,,"650 W ADRIAN ST LOT 176, BLISSFIELD, MI 49228",235,34,16
1200708,,"24600 JOY RD, REDFORD CHARTER TOWNSHIP MI 48239",151,16,6
1200709,STRATFORD VILLA MOBILE HOME PARK,"3333 STRATFORD WAY, WIXOM, MI 48076",409,49,23
1200710,WILLOW TREE VILLAGE MHC,"3840 N RIATA, BAY CITY MI 48706",78,96,35
1200711,COUNTRY ACRES MANUFACTURED HOME COMMUNITY,"300 KRISTY JO, CADILLAC, MI 49601",182,101,36
1200712,,"4461 CLYDE PARK SW, GRAND RAPIDS, MI 49509",160,83,29
1200716,,"1340 POST ROAD, BELMONT, MI 49306",259,90,30
1200718,,"1265 FARNSWORTH RD, LAPEER MI 48446",230,67,26
1200727,,"1701 W. U.S. 10, SCOTTVILLE, MI 49454",74,102,32
1200730,BARODA ESTATES,"8836 STEVENSVILLE BARODA RD #7, BARODA, MI 49101",152,37,17
1200731,YOUNGS TRAILER PARK,"521 E CHURCH ST, REED CITY MI 49677",17,100,34
1200740,,"14201 RIDGE RD, PLYMOUTH MI 48170",635,23,13
1200758,,"11100 DAVISON RD, DAVISON MI 48423",190,68,26
1200763,NORTHERN COUNTRY ESTATES,"1030 M-76, ALGER, MI 48610",40,99,36
1200784,,"7500 GRAND RIVER, BRIGHTON, MI 48116",196,48,22
1200793,PARKWOOD GREEN VILLAGE,"630 SCHULTZ ROAD, SPARTA, MI 49345",108,90,33
1200794,ROCHESTER ESTATES,"700 LEGRAND, ROCHESTER, MI 48063",775,55,25
1200797,BELLE MOBILE VILLAGE,"18100 ELWELL RD LOT 118, BELLEVILLE MI 48111",118,31,4
1200799,,"1259 MC DEVITT, JACKSON, MI 49203",206,47,14
1200805,NORTHWOODS COMMUNITY,"2100 NORTH HINTZ ROAD, OWOSSO, MI 48867",97,71,28
1200808,,"1515 RIDGE RD, YPSILANTI MI 48197",373,32,15
1200811,,"8800 MARKET ST., PITTSFORD, MI 49271",14,35,16
1200817,BRENTWOOD ESTATES,"3278 BRENTWOOD DRIVE, BAY CITY MI 48706",150,96,35
1200823,,"26855 HAGGERTY ROAD, NOVI, MI 48377",311,NA,NA
1200825,SUNSET MOBILE HOME PARK,"854 WEST SANILAC ROAD, SANDUSKY, MI 48471",105,98,25
1200826,,"4396 132ND AVE, HAMILTON, MI 49419",59,43,20
1200831,,"1236 COUNTY ROAD 200, HIGGINS LAKE, MI 48653",20,105,36
1200838,,"2750 W HIGGINS LAKE DR, ROSCOMMON MI 48653",10,105,36
1200841,LEISURE ESTATES/VILLAGE MOBILE HOME COMMUNITY,"523 BUTTERNUT DRIVE, HOLLAND, MI 49423",438,86,31
1200846,,"7005 SHELDON RD, WHITMORE LAKE MI 48189",152,48,22
1200847,,"1305 NORTH SPRING ST LOT 69, GLADWIN, MI 48624",113,99,34
1200851,,"11067 E MT MORRIS RD, DAVISON MI 48423",104,67,26
1200852,LAKEVIEW ESTATES,"37111 MAIN STREET, NEW BALTIMORE, MI 48047",42,63,12
1200863,,"16105 DOYLE RD, HEMLOCK MI 48626",159,93,26
1200866,LAFAYETTE PLACE,"21155 WARNER, WARREN, MI 48091",254,14,3
1200877,,"2965 PATTERSON ROAD R#3, WAYLAND, MI 49348",117,43,18
1200884,WOODHAVEN PLACE ESTATES MANUFACTURED HOME COMMUN,"23501 VAN HORN RD, WOODHAVEN, MI 48183",220,28,4
1200885,RICHMOND PLACE ESTATES MANUFACTURED HOME COMMUNI,"36401 DIVISION ROAD, RICHMOND, MI 48062",117,65,25
1200886,ST CLAIR PLACE ESTATES MANUFACTURED HOME COMMUN,"2700 COX, ST. CLAIR, MI 48079",100,64,25
1200896,,"182 EAST D AVENUE, KALAMAZOO, MI 49004",76,42,19
1200897,,"28261 VAN BORN RD, ROMULUS MI 48174",208,26,4
1200906,SPRING LAKE,"604 W JOHN BEERS ROAD, STEVENSVILLE, MI 49127",389,38,20
1200911,,"401 SOUTH ST. JOHNS STREET, ITHACA, MI 48847",128,92,34
1200912,,"629 EAST LAKE ROAD, HARBOR SPRINGS, MI 49740",68,107,37
1200914,PINEBROOK VILLAGE,"444 BELLEWOOD, SE, GRAND RAPIDS, MI 49508",185,80,29
1200918,,"1701 FAIRLAWN, HOWELL, MI 48843",48,50,22
1200923,INDIAN VILLAGE MOBILE HOME PARK I,"2600 E SOUTH ST, JACKSON MI 49201",300,46,14
1200932,BAY SHORE ESTATES MOBILE HOME PARK,"7463 OLD US 31 HIGHWAY, PETOSKEY, MI 49770",83,107,37
1200934,LAKEVIEW VILLAGE MOBILE HOME PARK,"526 NORTH LAKE STREET, BOYNE CITY, MI 49712",171,107,37
1200936,,"11043 11 MILE RD, MECOSTA, MI 49332",8,100,34
1200938,,"7321 WHITE RD LOT 74, MUSKEGON, MI 49442",128,89,32
1200954,,"4991 WIXOM ROAD, BEAVERTON, MI 48612",68,95,34
1200959,,"411 DAILEY DRIVE, REED CITY, MI 49677",49,100,34
1200961,WOODS & FIELDS COMMUNITIES WEST,"2627 WEST M-21, OWOSSO, MI 48867",72,71,28
1200963,HURON ESTATES MOBILE HOME COMMUNITY,"22000 INKSTER ROAD, ROMULUS, MI 48174",807,29,4
1200966,KEY MOBILE HOME COURT,"221 LAKEVIEW DR, GLADWIN, MI 48624",32,99,34
1200967,,"4385 VAN ETTAN DAM RD, OSCODA MI 48750",32,99,36
1200971,,"6564 EAST MICHIGAN AVENUE, SALINE, MI 48175",148,33,15
1200974,,"7400 MICHIGAN HEIGHTS DR, CHARLEVOIX, MI 49720",108,107,37
1200979,EAST VILLAGE ESTATES,"57400 BEDFORD BLVD, WASHINGTON MI 48034",708,66,24
1200983,HILLVIEW MOBILE ESTATES,"6545 E CENTER ST, COLOMA MI 49038",88,39,20
1200989,,"13380 M-60, CONCORD, MI 49237",82,45,17
1200994,,"GARNER DRIVE, IMLAY CITY, MI 48444",12,65,26
1200999,NOVI MEADOWS MOBILE HOME PARK,"26250 VIRGINIA AVENUE, NOVI, MI 48374",401,21,13
1201003,KING ARTHURS COURT,"2201 EAST STATE ROAD, LANSING, MI 48906",425,77,28
1201009,BROOKSHIRE MEADOWS,"7635 QUAIL RUN, GRAND RAPIDS, MI 49508",303,79,20
1201010,DUTTON MILL VILLAGE,"6720 WEST MILL RUN, CALEDONIA, MI 49316",307,79,20
1201011,WHISPERING PINES MOBILE HOME PARK,"9397 ALPINE AVENUE, SPARTA, MI 49345",50,90,33
1201024,RUDGATE CLINTON MOBILE HOME PARK,"20475 FOSTER DR, CLINTON TOWNSHIP MI 48036",667,61,11
1201026,RIVER HAVEN,"14546 MERCURY DRIVE, GRAND HAVEN, MI 49417",721,88,31
1201029,,"30600 VAN BORN RD, WESTLAND MI 48186",772,26,5
1201031,,"1330 E MAPLE, FLINT, MI 48507",302,72,27
1201032,SANDHILL ESTATES,"4063 BOWERS RD, ATTICA, MI 48412",50,65,26
1201035,SCIO FARMS,"6655 JACKSON RD, ANN ARBOR MI 48103",913,47,14
1201038,EVERGREEN VILLAGE MHP,"146 N SMITH, HESPERIA, MI 49421",99,101,33
1201039,SHEFFIELD ESTATES MHP,"165 OPDYKE, AUBURN HILLS, MI 48057",228,54,7
1201042,,"5406 TORREY RD, FLINT, MI 48057",377,71,27
1201043,PARK PLACE COMMUNITY,"200 EUREKA ST, CLIO, MI 48420",160,69,26
1201044,FISHERMANS COVE MANUFACTURED HOUSING COMMUNITY,"4441 JENA LANE, FLINT, MI 48507",162,70,27
1201047,,"1515 ROLSTON RD, LINDEN, MI 48451",280,72,22
1201050,SCOTSDALE ESTATES,"3382 ALMA DRIVE, ALMA, MI 48801",189,92,34
1201052,CEDAR RIDGE MANUFACTURED HOUSING COMMUNITY,"5000 13TH STREET, MENOMINEE, MI 49858",76,108,38
1201054,ARBOR MEADOWS MOBILE HOME COMMUNITY,"5229 W MICHIGAN, YPSILANTI, MI 48197",409,32,15
