"","Record_No","Status","Expiration_Date","DBA","Owner / Community_Name","Location_Address","Zip_Code","Mailing_Address","County","Community_Phone","Total_#_Sites","Issued_Date","Operator_Name","Operator_Phone","Operator_email","latitude","longitude"
"81","1200866","Issued",2027-10-01,"LAFAYETTE PLACE","SUN LAFAYETTE PLACE LLC","21155 WARNER, WARREN, MI 48091","48091","27777 FRANKLIN RD STE 3000, SOUTHFIELD, MI 48034","MACOMB","5867552800","254","10/12/1979","BRUCE THELEN","2482082500","LICENSING@SUNCOMMUNITIES.COM",42.4513209,-83.0737729
"82","1201401","Issued",2027-10-01,"WOODVIEW MOBILE HOME VILLAGE","COSMONET-WOODVIEW LLC","6988 READY ST, WARREN MI 48091","48091","20 SHALLOW BROOK RD, MORGANVILLE, NJ 07751","MACOMB","8045506892","92","03/29/2016","PRABIN DUTTA","8045506892","pdutta@cosmonetllc.com",NA,NA
"83","1201719","Issued",2027-10-01,NA,"MC WARREN ESTATES PROPERTY LLC","3051 EAST TEN MILE ROAD, WARREN MI 48091","48091","29200 NORTHWESTERN HWY  STE 300, SOUTHFIELD, MI 48034","MACOMB","2487783198","170","12/14/2019","JEFFREY DAVIDSON","2487783198","jdavidson@meritusmhc.com",NA,NA
"84","1201740","Issued",2027-10-01,"PARK LANE COURT","MC WARREN ESTATES PROPERTY LLC","3193 EAST 10 MILE ROAD, WARREN MI 48091","48091","PO BOX 7008, BLOOMFIELD HILLS, MI 48302","MACOMB","2487783198","168","03/16/2020","JEFFREY DAVIDSON","2487783198","jdavidson@meritusmhc.com",42.4766488,-83.0724336
"85","1201820","Issued",2027-10-01,"SHADYLANE ESTATES MHC","CC SHADYLANE PROPERTY LLC","2709 CAPITOL #92, WARREN MI 48091","48091","29200 NORTHWESTERN HWY  STE 300, SOUTHFIELD, MI 48034","MACOMB","5867578448","270","03/05/2021","JEFFREY DAVIDSON","2487025900","jdavidson@cambiomhc.com",NA,NA
"86","1201944","Issued",2027-10-01 10:14:58,"LANDMARK ESTATES","WARREN MH HOLDINGS LLC","21908 DEQUINDRE RD, WARREN MI 48091","48091","6908 TELEGRAPH RD  STE 325, BLOOMFIELD HILLS, MI 48301","MACOMB","2817779992","110","06/23/2022","SHANNON MARSHALL","2483312479","SMARSHALL@BLANKFAMILYCOMMUNITIES.COM",42.4565238,-83.0836472
"87","1201999","Issued",2027-10-01,NA,"CONTINENTAL BRIDGE COMMUNITIES LLC","3127 MAPLE STREET, WARREN MI 48091","48091","31550 NORTHWESTERN HWY., STE. 220, FARMINGTON HILLS, MI 48334","MACOMB","5863335622","265","12/22/2022","NORMAN WEINSTEIN","2488650066","msrecompliance@mshapirorealestate.com",42.4487154,-83.0716609
"88","1202001","Issued",2027-10-01,NA,"MOTOR CITY MHP LLC","23765 LAWERENCE AVE, WARREN MI 48091","48091","2973 HARBOR BLVD., #580, COSTA MESA, CA 92626","MACOMB","5867568280","126","01/06/2023","JASON JANDA","9203225151","jason@mhcommunities.com",NA,NA
"89","1201921","Issued",2027-10-01 13:36:34,"TWIN PINES MOBILE HOME PARK","WARREN MH HOLDINGS LLC","6815 E 11 MILE RD, WARREN MI 48092","48092","6905 TELEGRAPH RD  STE 325, BLOOMFIELD HILLS, MI 48301","MACOMB","2817779992","140","03/17/2022","SHANNON MARSHALL","2403312479","SMARSHALL@BLANKFAMILYCOMMUNITIES.COM",42.492005,-83.0355713
"90","1200092","Issued",2027-10-01,NA,"WASHINGTON MOBILE HOME PARK","60630 VAN DYKE, WASHINGTON, MI 48094","48094","60630 VAN DYKE, WASHINGTON, MI 48094","MACOMB","No Phone","107","02/01/1979","DENNIS WHITING","5867814562","whitingcon@hotmail.com",42.7345619,-83.0358698
"91","1201068","Issued",2027-10-01,"COMMERCE MEADOWS MANUFACTURED HOME COMMUNITY","COMMERCE MEADOWS LTD","2400 MEADOWS CIRCLE, WIXOM, MI 48096","48096","PO BOX 339687, FARMINGTON HILLS, MI 48333","OAKLAND","No Phone","602","10/27/1988","GARY W GRIGLAK","2488512700",NA,NA,NA
"92","1201477","Issued",2027-10-01,NA,"MY PLACE AT NORTH HILL LLC","504 NORTH MAIN STREET, YALE MI 48097","48097","PO Box 46399, Mount Clemens, MI 48046","ST CLAIR","5867454294","42","05/23/2017","CHRISTOPHER NORTLEY","5867454294","chris@myplacecommunities.com",43.136327,-82.798637
"93","1200252","Issued",2027-10-01,NA,"ORCHARD GROVE HOLDINGS LLC","2835 SOUTH WAGNER #200, ANN ARBOR, MI 48103","48103","31200 NORTHWESTERN HWY, FARMINGTON HILLS, MI 48334","WASHTENAW","2486260737","290","03/20/1979","JOEL BROWN","2486260737","Kvreeland@rhp.com",NA,NA
"94","1201035","Issued",2027-10-01,"SCIO FARMS","SUN SCIO FARMS LLC","6655 JACKSON RD, ANN ARBOR MI 48103","48103","27777 FRANKLIN RD STE 300, SOUTHFIELD, MI 48034","WASHTENAW","7346638822","913","01/29/1986","BRUCE THELEN","2482082500","LICENSING@SUNCOMMUNITIES.COM",NA,NA
"95","1200239","Issued",2027-10-01,"SUNNYSIDE PARK","CHIN INVESTMENTS ONE LLC","2740 PACKARD, ANN ARBOR, MI 48108","48108","2436 NW WESTOVER RD #301, PORTLAND, OR 97210","WASHTENAW","No Phone","53","03/20/1979","JOHN A CHIN","7347174400",NA,42.2447148,-83.7093929
"96","1200024","Issued",2027-10-01,"LAKEVIEW MOBILE HOME COURT","LEBLANC FAMILY LTD PARTNERSHIP, THE","745 EAST HURON RIVER DRIVE, BELLEVILLE, MI 48111","48111","201 POTTER DR APT B, BELLEVILLE, MI 48111","WAYNE","7342624511","60","12/20/1978","JEAN LEBLANC","734-502-1604","lindaleblanc60@yahoo.com",42.209787,-83.4741929
"97","1200255","Issued",2027-10-01,NA,"SYLVAN VALLEY ESTATES INC","46537 ECORSE, BELLEVILLE, MI 48111","48111","45225 GRAND RIVER AVE, NOVI, MI 48375","WAYNE","2483492500","37","03/20/1979","MARK M RAUKAR","2483492500","mraukar@lvhomes.net",NA,NA
"98","1200396","Issued",2027-10-01 14:57:07,NA,"BROOKDALE FARMS INC","46570 WILLIS RD, BELLEVILLE MI 48111","48111","7754 HIDDEN RIDGE LANE, NORTHVILLE, MI 48168","WAYNE","2484866868","43","03/30/1979","LAWRENCE SANT","2483201780","LARRY@LASANTBUILDING.COM",NA,NA
"99","1200797","Issued",2027-10-01,"BELLE MOBILE VILLAGE","BELLE MOBILE VILLAGE LLC","18100 ELWELL RD LOT 118, BELLEVILLE MI 48111","48111","1607 E BIG BEAVER #210, TROY, MI 48083","WAYNE","2489288100","118","08/24/1979","WALTER BRUCE KNIGHT","2489288100","ldyer@belle-creek.com",NA,NA
"100","1200882","Issued",2027-10-01,"MOBILE MANOR TRAILER PARK","R & R PROPERTIES, INC","600 SUMPTER ROAD, BELLEVILLE, MI 48111","48111","10042 DEERPATH, TRAVERSE CITY, MI 49684","WAYNE","2319222567","97","10/12/1979","PHIL RUSINOWSKI","2319222567",NA,42.197164,-83.48503
"101","1201078","Issued",2027-10-01,NA,"SCI APE MHP LLC","6300 W Adams, Belleville MI 48111","48111","100 S. Belcher Rd #7534, Clearwater, FL 33758","WAYNE","4066255757","173","11/16/1988","TODD W DE LEON","4065060998","todd.deleon@mysunrisecommunity.com",NA,NA
"102","1201226","Issued",2027-10-01,NA,"SCI APE MHP INC","6300 West Adams, Belleville MI 48111","48111","100 S. Belcher Rd #7534, Clearwater, FL 33758","WAYNE","4066255757","330","08/11/2000","TODD W DE LEON","4065060998","todd.deleon@mysunrisecommunity.com",NA,NA
"103","1201388","Issued",2027-10-01,NA,"MAPLE LEAF GARDENS SOUTH MHC LLC","51000 MICHIGAN AVENUE, BELLEVILLE MI 48111","48111","6547 N AVONDALE STE 301, CHICAGO, IL 60631","WAYNE","7344810960","147","02/19/2016","EDWARD ZEMAN","7734997255","licenses@zemanhomes.com",NA,NA
"104","1201572","Issued",2027-10-01,"BELLE VILLA MEADOWS","YES BELLE VILLA MEADOWS, LLC","955 SUMPTER ROAD, BELLEVILLE MI 48111","48111","5050 S SYRACUSE ST STE 1200, DENVER, CO 80237","WAYNE","7346992233","246","09/06/2018","JOSHUA SONNE","3034837300","buisnesslicensing@yescommunities.com",42.194034,-83.4841572
"105","1201573","Issued",2027-10-01,"BELLE VILLA LAKE","YES BELLE VILLA LAKES, LLC","955 SUMPTER ROAD, BELLEVILLE MI 48111","48111","5050 S SYRACUSE ST STE 1200, DENVER, CO 80237","WAYNE","734-699-2233","176","09/06/2018","JOSHUA SONNE","3034837300","businesslicensing@yescommunities.com",42.194034,-83.4841572
"106","1201591","Issued",2027-10-01,NA,"BC VAN BUREN PROPERTY LLC","16800 LOHR ROAD, BELLEVILLE MI 48111","48111","5050 S SYRACUSE STREET, STE. 1200, DENVER, CO 80237","WAYNE","7346974655","310","09/21/2018","JOSH SONNE","3034837300","businesslicensing@yescommunities.com",NA,NA
"107","1201592","Issued",2027-10-01,NA,"BC BELLEVILLE MANOR PROPERTY LLC","8701 BELLEVILLE ROAD, BELLEVILLE MI 48111","48111","5050 S SYRACUSE STREET, STE. 1200, DENVER, CO 80237","WAYNE","7346975801","358","09/21/2018","JOSH SONNE","3034837300","businesslicensing@yescommunities.com",42.2109033,-83.4930234
"108","1201836","Issued",2027-10-01,"HOLIDAY WEST","CC HOLIDAY WEST PROPERTY LLC","50333 WILLIS ROAD, BELLEVILLE MI 48111","48111","PO BOX 7008, BLOOMFIELD HILLS, MI 48302","WAYNE","7344619797","844","05/10/2021","JEFFREY DAVIDSON","2487783198","jdavidson@cambiomhc.com",NA,NA
"109","1201837","Issued",2027-10-01,"HOLIDAY WOODS MHC","CC HOLIDAY WOODS PROPERTY LLC","20749 MARTINSVILLE ROAD, BELLEVILLE MI 48111","48111","PO BOX 7008, BLOOMFIELD HILLS, MI 48302","WAYNE","7346979100","321","05/10/2021","JEFFREY DAVIDSON","2487783198","jdavidson@cambiomhc.com",NA,NA
"110","1201889","Issued",2027-10-01,"TOWN AND COUNTRY MOBILE HOME ESTATES","EVERGREEN TOWN & COUNTRY MHP LLC","51005 OLD MICHIGAN AVE, BELLEVILLE MI 48111","48111","525 WILLIAM PENN PLACE, 28TH FL, PITTSBURGH, PA 15219","WAYNE","2488206962","137","12/02/2021","AKSHITA BANERJEE","203-501-0796","ag@evergreenparke.com",NA,NA
"111","1201911","Issued",2027-10-01,"PARK ESTATES","PARK ESTATES MHP BELLEVILLE MI","51300 MICHIGAN AVENUE, BELLEVILLE MI 48111","48111","1630 GUADALUPE RD, ,  PO BOX 2300GILBERT, AZ 85233","WAYNE","7344813321","128","02/15/2022","THOMAS STAPLEY","4803390000","LICENSING@ROOTSMG.COM",NA,NA
"112","1202030","Issued",2027-10-01,NA,"MC RAWSONVILLE PROPERTY, LLC","10825 RAWSONVILLE ROAD, BELLEVILLE MI 48111","48111","5050 S SYRACUSE ST., STE. 1200, DENVER, CO 80237","WAYNE","7344616700","536","06/23/2023","JOSHUA SONNE","3034837300","businesslicensing@yescommunities.com",NA,NA
"113","1201975","Issued",2027-10-01,"SYLVAN GLEN ESTATES","SUN SYLVAN GLEN LLC","6600 W. GRAND RIVER AVE, BRIGHTON MI 48114","48114","27777 FRANKLIN RD., STE. 300, SOUTHFIELD, MI 48034","LIVINGSTON","8882057985","482","09/30/2022","BRUCE THELEN","2482082500","LICENSING@SUNCOMMUNITIES.com",42.5480282,-83.7895322
"114","1202011","Issued",2027-10-01,NA,"WOODLAND PARK MHP LLC","8005 W GRAND RIVER AVE, BRIGHTON MI 48114","48114","P.O. BOX 4538, DURANGO, CO 81302","LIVINGSTON","9707590427","65","03/08/2023","ROBBIE MOSHER","9707590427","robbie.mosher@gmail.com",42.5480282,-83.7895322
"115","1200784","Issued",2027-10-01,NA,"BRIGHTON VILLAGE ASSOCIATES, LLC","7500 GRAND RIVER, BRIGHTON, MI 48116","48116","31200 NORTHWESTERN HWY, FARMINGTON HILLS, MI 48334","LIVINGSTON","2486260737","196","08/24/1979","JOEL BROWN","2486260737",NA,42.5439223,-83.7882371
"116","1201795","Issued",2027-10-01,"STARLIGHT MOBILE HOME PARK","ABC LIVING LLC","7175 BISHOP ROAD, BRIGHTON MI 48116","48116","PO BOX 250633, WEST BLOOMFIELD, MI 48325","LIVINGSTON","2485341440","48","11/16/2020","JOSEPH BROPHY","248-246-7203","joe@silversidemgmt.com",NA,NA
"117","1200473","Issued",2027-10-01,"FLAT ROCK VILLAGE","TRI-PARK HOLDINGS, LLC","11150 TELEGRAPH ROAD, CARLETON, MI 48117","48117","216 W WAYNE ST, MAUMEE, OH 43537","MONROE","4198934879","332","04/17/1979","TRACE MEYER","4198934879","trace@pmsc1.com",NA,NA
"118","1201241","Issued",2027-10-01,"ORCHARDS MANUFACTURED HOME COMMUNITY","ORCHARDS MHC INC","3600 TOWNSQUARE BLVD, CARLETON, MI 48117","48117","3600 TOWNSQUARE, CARLETON, MI 48117","MONROE","No Phone","394","07/06/2010","JAMES T WILLIAMSON","7347820268",NA,NA,NA
"119","1201413","Issued",2027-10-01,NA,"CARLETON MHP LLC","12500 JONES STREET, CARLETON MI 48117","48117","4893 ROCHESTER RD., STE. D, TROY, MI 48085","MONROE","7346546203","228","06/14/2016","WILLIAM CONNELL","2486010202","wtconnell@comcast.net",42.055491,-83.389514
"120","1201782","Issued",2027-10-01,NA,"YORKSHIRE MANOR OF CARLETON LLC","1205 YORK BLVD, CARLETON MI 48117","48117","19269 RIVER VALLEY DR, MACOMB, MI 48044","MONROE","7346548800","280","08/05/2020","DEBRA M ZILLI","5868171687","debzilli@comcast.net",42.0515454,-83.3923888
"121","1201933","Issued",2027-10-01,"SYLVAN CROSSING","SUN SYLVAN CROSSING LLC","23351 REDWOOD DRIVE, CHELSEA MI 48118","48118","27777 FRANKLIN ROAD, STE. 300, SOUTHFIELD, MI 48034","WASHTENAW","8882063851","281","05/06/2022","BRUCE THELEN","2482082500","licensing@suncommunities.com",NA,NA
"122","1200014","Expired",2024-10-01,NA,"MELVINDALE MOBILE HOME PARK, INC","18630 DIX, MELVINDALE, MI 48122","48122","5003 HICKORY POINTE DR, ORCHARD LAKE, MI 48323","WAYNE","2483182301","59","12/13/1978","NADIM AJLOUNY","2483182301",NA,42.274915,-83.1766138
"123","1201400","Issued",2027-10-01,"PELHAM MOBILE HOME PARK","COSMONET-PELHAM LLC","4128 PELHAM ST, DEARBORN HEIGHTS MI 48125","48125","20 SHALLOW BROOK RD, MORGANVILLE, NJ 07751","WAYNE","8045506892","67","03/29/2016","PRABIN DUTTA","8045506892","pdutta@cosmonetllc.com",42.2802572,-83.2318559
"124","1201699","Issued",2027-10-01,"PAT'S TRAILER COURT","MCANN TELEGRAPH PROPERTY","4650 S TELEGRAPH, DEARBORN HEIGHTS MI 48125","48125","PO BOX 2097, DEARBORN, MI 48123","WAYNE","3138444064","50","09/20/2019","NABEEL HAMAMEH","3138444064","patstrailerct@gmail.com",42.2757585,-83.270257
"125","1200028","Issued",2027-10-01,"DEARBORN TRAILER PARK","DONALD W ARNEY","21851 WEST WARREN, DEARBORN HEIGHTS, MI 48127","48127","26511 LYNDON, REDFORD, MI 48239","WAYNE","3132553896","47","12/20/1978","DONALD W ARNEY","3132553896",NA,42.3419067,-83.2526007
"126","1201466","Issued",2027-10-01,NA,"RIVERSIDE PROPERTIES OF DEARBORN HEIGHTS LLC","17297 W OUTER DRIVE, UNIT #1, DEARBORN HEIGHTS MI 48127","48127","17297 W OUTER DR #1, DEARBORN HEIGHTS, MI 48127","WAYNE","3139499781","100","03/23/2017","ZIAD BAYDOUN","3139999595","zbaydoun@gmail.com",NA,NA
"127","1201643","Issued",2027-10-01,NA,"CRESTWOOD COMMUNITY LLC","26235 W WARREN STREET, DEARBORN HEIGHTS MI 48127","48127","51 W CENTER ST., STE. 600, OREM, UT 84057","WAYNE","4356591021","198","03/12/2019","GERALD VAN TASSELL","4356591021","gerald@havenparkmgmt.com",42.340844,-83.2973673
"128","1201154","Issued",2027-10-01,"DUNDEE MEADOWS","ACO DEVELOPMENT, INC","630 RAWSON, DUNDEE, MI 48131","48131","PO BOX 700525, PLYMOUTH, MI 48170","MONROE","7344532820","80","03/28/1995","ANGELO CONSTANTINE","7344532820","acodev@comcast.net",41.9615689,-83.6651951
"129","1202024","Issued",2027-10-01,NA,"MC COUNTRY HERITAGE PROPERTY LLC","771 MARY JEAN COURT, DUNDEE MI 48131","48131","5050 S SYRACUSE ST., STE. 1200, DENVER, CO 80237","MONROE","7345297203","213","05/18/2023","JOSHUA SONNE","3034837300","businesslicensing@yescommunities.com",41.9483691,-83.6518093
"130","1201364","Issued",2027-10-01,NA,"LAKESHORE CY LLC","6458 S DIXIE HWY, ERIE MI 48133","48133","5841 W MICHIGAN AVE, YPSILANTI, MI 48197","MONROE","No Phone","20","12/22/2015","YIANNIS CHRISTODOULOU","7342057149","ohakia@yahoo.com",41.7714542,-83.5091344
"131","1201454","Issued",2027-10-01,NA,"THE PEACH TREE MHP LLC","6517 TELEGRAPH ROAD, ERIE MI 48133","48133","2212 W LLOYD ROAD, DUNDEE, MI 48131","MONROE","7347787018","65","01/26/2017","ROBERT J COLE","7347787018","RCOLE2199@GMAIL.COM",41.80493,-83.501843
"132","1201727","Issued",2027-10-01,"MEADOWS MOBILE HOME PARK","UMH MI NORTHTOWNE MEADOWS LLC","6255 TELEGRAPH RD, ERIE MI 48133","48133","3499 ROUTE 9 N, STE. 3C, FREEHOLD, NJ 07728","MONROE","7348477355","386","12/27/2019","ROBERT VANSCHUYVER","No Phone","BVANSCHUYVER@UMH.COM",41.80493,-83.501843
"133","1201976","Issued",2027-10-01,NA,"UMH MI HIDDEN CREEK LLC","6400 S DIXIE HWY, ERIE MI 48133","48133","6400 S DIXIE HWY, ERIE, MI 48133","MONROE","3748482251","351","10/04/2022","STEPHANIE STEER","7348482251","hiddencreek@umh.com",41.7714542,-83.5091344
"134","1201056","Issued",2027-10-01,"COUNTRY MEADOWS MANUFACTURED HOME COMMUNITY","SUN SECURED FINANCING LLC","3211 WILL CARLETON, FLAT ROCK, MI 48134","48134","27777 FRANKLIN RD STE 300, SOUTHFIELD, MI 48034","WAYNE","2482082500","577","10/26/1987","BRUCE THELEN","2482082500","LICENSING@SUNCOMMUNITIES.COM",42.0942474,-83.3043426
"135","1201063","Issued",2027-10-01,NA,"DEERFIELD ESTATES","26211 TELEGRAPH ROAD, FLAT ROCK, MI 48134","48134","40220 GRAND RIVER AVE, NOVI, MI 48375","WAYNE","2483806150","821","01/12/1988","JEROME RUGGIRELLO","2483806150",NA,42.1150157,-83.2813346
"136","1201375","Issued",2027-10-01,NA,"TINY VILLAGE MHP LLC","4624 S HURON RIVER DRIVE, FLAT ROCK MI 48134","48134","PO BOX 60, BROOKLYN, MI 49230","MONROE","7342194466","22","02/01/2016","DAVID L LUNDGREN","3134341701",NA,NA,NA
"137","1201676","Issued",2027-10-01,NA,"FLAT ROCK TERRACE LLC","14210 TELEGRAPH ROAD, FLAT ROCK MI 48134","48134","17602 17TH STREET, STE. 102 #289, TUSTIN, CA 92780","MONROE","No Phone","123","07/25/2019","STEVE MCCROSKY","9492987185",NA,42.1039737,-83.2887041
"138","1201888","Issued",2027-10-01,"TANGLEWOOD VILLAGE","SUN TANGLEWOOD VILLAGE LLC","25873  MANCHESTER DRIVE, FLAT ROCK MI 48134","48134","27777 FRANKLIN ROAD, STE. 300, SOUTHFIELD, MI 48034","WAYNE","8882064088","248","11/23/2021","BRUCE THELEN","2482082500","licensing@suncommunities.com",42.1168927,-83.2731588
"139","1201985","Issued",2027-10-01,"ARTHURS MOBILE HOME COMMUNITY/HIDDEN GARDEN MHC","PACIFICA SHREWSBURY LLC","25821 TELEGRAPH ROAD, FLAT ROCK MI 48134","48134","1775 HANCOCK STREET, STE. 200, SAN DIEGO, CA 92110","WAYNE","8449213030","64","10/24/2022","SARA W MCFARLAND","6192969000","utilities@pacshorecommunities.com",42.1039737,-83.2887041
"140","1201606","Issued",2027-10-01,"PINE GROVE MHP","MASC PROPERTIES LLC","28312 MICHIGAN AVE, INKSTER MI 48141","48141","9 MARION DRIVE, ASHEVILLE, NC 28806","WAYNE","3037181621","45","11/05/2018","MALCOLM OLIVER","303-718-1621","MEO3@AOL.COM",42.292628,-83.3177314
"141","1201693","Issued",2027-10-01,NA,"RIVERVIEW MOBILE HOME COMMUNITY LLC","2555 HENRY RUFF RD, INKSTER MI 48141","48141","PO BOX 774000-180, STEAMBOAT SPRINGS, CO 80477","WAYNE","5418064663","70","08/28/2019","KARL MIKKELSON","5418064663","karl@gorge.net",42.2978501,-83.3394776
"142","1200474","Issued",2027-10-01,NA,"MICHAEL R ANDREE","7725 SUMMERFIELD RD, LAMBERTVILLE MI 48144","48144","3210 MAPLEWOOD AVE, LAMBERTVILLE, MI 48144","MONROE","No Phone","28","04/17/1979","MICHAEL R ANDREE","7346867100",NA,41.755818,-83.6187332
"143","1201947","Issued",2027-10-01,NA,"LINCOLN PARK MI MHP LLC","3075 DIX HIGHWAY, LINCOLN PARK MI 48146","48146","P.O. BOX 289, ENGLEWOOD, NJ 07631","WAYNE","647794400","203","06/24/2022","YOUSEF KHALIL","6467794400","FinancialOperations@ourhomesofamerica.com",42.2396616,-83.1948271
"144","1201710","Issued",2027-10-01,NA,"MANCHESTER MANOR MHC LLC","101 HIBBARD STREET, MANCHESTER MI 48158","48158","6547 N AVONDALE AVE, CHICAGO, IL 60631","WASHTENAW","7344280102","116","11/05/2019","EDWARD ZEMAN","7734997255","licenses@zemanhomes.com",42.154184,-84.025931
"145","1202003","Issued",2027-10-01,NA,"PLEASANT LAKE PARK LLC","11285 E PLEASANT LAKE RD, MANCHESTER MI 48158","48158","3802 BEMIS ROAD, YPSILANTI, MI 48197","WASHTENAW","7342161704","24","01/25/2023","MATTHEW WEASEL","7342161704","office@pleasantlakepark.com",NA,NA
"146","1201135","Issued",2027-10-01,"MILL RACE SHORES MHC","MILL RACE PARTNERS LLC","563 ALLEN RD., MILAN, MI 48160","48160","139 WALNUT BLVD, ROCHESTER, MI 48307","MONROE","No Phone","97","09/13/1993","DANIEL P VANDOORNE","2486018400","DVandoorne@webuyparks.com",42.075892,-83.6836674
"147","1200430","Issued",2027-10-01,"WILLOW GREEN MOBILE HOME COMMUNITY","LAWSON VILLAGE, LLC","2033 N OUTER DR, MONROE MI 48161","48161","10225 ELK LAKE TRAIL, WILLIAMSBURG, MI 49690","MONROE","7342427401","586","04/12/1979","DONALD HAYDEN JR","231-264-5102","dchaydenjr@gmail.com",41.914398,-83.431687
"148","1200436","Issued",2027-10-01,"MEADOWBROOK ESTATES MANUFACTURED HOME COMMUNITY","SUN POOL 3, LLC","1250 STRANDWYCK, MONROE, MI 48161","48161","27777 FRANKLIN RD STE 200, SOUTHFIELD, MI 48034","MONROE","7342417300","455","04/13/1979","BRUCE THELEN","7342417300",NA,41.9101404,-83.4269339
"149","1201569","Issued",2027-10-01,NA,"BC OAKRIDGE PROPERTY, LLC","6447 EAST DUNBAR RD, MONROE MI 48161","48161","5050 S SYRACUSE STREET, STE. 1200, DENVER, CO 80237","Monroe","7342427872","620","08/29/2018","JOSH SONNE","248-744-4211","businesslicensing@yescommunities.com",41.8958805,-83.4015834
"150","1201570","Issued",2027-10-01,NA,"BC RAISIN RIDGE PROPERY, LLC","3955 SOUTH CUSTER ROAD, MONROE MI 48161","48161","5050 S SYRACUSE STREET, STE. 1200, DENVER, CO 80237","MONROE","7342414100","319","08/29/2018","JOSH SONNE","2487783200","legal@yescommunities.com",41.934023,-83.4703666
"151","1201971","Issued",2027-10-01,"SUNNY SOUTH VILLA MOBILE HOME PARK","PACIFICA SHREWSBURY LLC","15377 TELEGRAPH ROAD, MONROE MI 48161","48161","1775 HANCOCK ST., STE. 200, SAN DIEGO, CA 92110","MONROE","8449213030","68","09/20/2022","SARA W MCFARLAND","6192969000","utilities@pacshorecommunities.com",41.897754,-83.431334
"152","1201987","Expired",2024-10-01,NA,"MONROE MHP LLC","6385 N MONROE STREET, MONROE MI 48162","48162","956 YORKSHIRE APT A, LIMA, OH 45804","MONROE","9893137829","29","10/27/2022","JOSEPH SCHIAVONE","9899808681","joseph@cmhcapitalinc.com",41.9697383,-83.3735266
"153","1201596","Issued",2027-10-01,NA,"BC PLEASANTVILLE PROPERTY, LLC","1045 NADEAU ROAD, MONROE MI 48162","48162","5050 S SYRACUSE STREET, STE. 1200, DENVER, CO 80237","MONROE","7342415777","152","09/28/2018","JOSH SONNE","2487783200","legal@yescommunities.com",41.9643656,-83.3529897
"154","1202045","Issued",2027-10-01,NA,"SHAMROCK VILLAGE MHC ESTATES LLC","1811 N. TELEGRAPH ROAD, MONROE MI 48162","48162","847 SUMPTER ROAD #5228, BELLEVILLE, MI 48111","MONROE","7347044038","76","08/25/2023","KALYAN JONNALAGADDA","5863226714","KELLY@LOTUSCAPITALCRE.COM",41.9427894,-83.4041999
"155","1201489","Issued",2027-10-01,NA,"FSI SWAN CREEK PROPERTY LLC","23379 ISLAND DRIVE, NEW BOSTON MI 48164","48164","5050 S SYRACUSE STREET, STE. 1200, DENVER, CO 80237","WAYNE","No Phone","304","09/11/2017","JOSH SONNE","2487783200","legal@yescommunities.com",NA,NA
"156","1200277","Issued",2027-10-01,"KENSINGTON PLACE","KENSINGTON PARK LTD","60501 GRAND RIVER AVENUE, NEW HUDSON, MI 48165","48165","PO BOX 339687, FARMINGTON HILLS, MI 48333","OAKLAND","No Phone","488","03/20/1979","GARY W GRIGLAK","2488512700","manager@kensingtonplacemhc.com",42.5127451,-83.6210278
"157","1200547","Issued",2027-10-01,"FRENCHTOWN VILLA","R E FUND NEWPORT, LLC","1250 PAREE AVENUE, NEWPORT, MI 48166","48166","27777 FRANKLIN RD STE 300, SOUTHFIELD, MI 48034","MONROE","No Phone","749","05/11/1979","BRUCE THELEN","2482082500","LICENSING@SUNCOMMUNITIES.COM",NA,NA
"158","1201188","Issued",2027-10-01,"ELIZABETH WOODS MANUFACTURED HOUSING COMMUNITY","R E FUND NEWPORT LLC","1250 PAREE STREET, NEWPORT, MI 48166","48166","27777 FRANKLIN RD STE 300, SOUTHFIELD, MI 48034","MONROE","No Phone","393","05/29/1998","BRUCE THELEN","2482082500","LICENSING@SUNCOMMUNITIES.COM",NA,NA
"159","1201211","Issued",2027-10-01,NA,"NEWPORT FARMS MHC, LLC","2447 NEWPORT ROAD, NEWPORT, MI 48166","48166","9597 CENTRAL AVE, MONTCLAIR, CA 91763","MONROE","No Phone","513","10/18/1999","KEITH CUNNING","7345866443",NA,42.0076354,-83.3340601
"160","1201407","Issued",2027-10-01,NA,"SUN KIMBERLY ESTATES LLC","7769 KIMBERLY DRIVE, NEWPORT MI 48166","48166","27777 FRANKLIN RD., STE 300, SOUTHFIELD, MI 48034","MONROE","7345863030","388","05/17/2016","BRUCE THELEN","2482082500","LICENSING@SUNCOMMUNITIES.COM",NA,NA
"161","1201518","Expired",2024-10-01,"CARRIAGE MANOR ESTATES","FLINT HOME SWEET HOME, LLC","2211 SOUTH DORT HIGHWAY, FLINT MI 48167","48167","17501 E NORTHVILLE TRAILS, NORTHVILLE, MI 48168","GENESEE","8105162929","53","01/04/2018","STEVE CIRIC","8105162929","glenncurrier@yahoo.com",43.0016893,-83.6538119
"162","1201185","Issued",2027-10-01,"NORTHVILLE CROSSING","SUN NORTHVILLE CROSSING LLC","9800 BLOOMSBURY CIRCLE, NORTHVILLE, MI 48167","48167","27777 FRANKLIN RD STE 300, SOUTHFIELD, MI 48034","WASHTENAW","No Phone","756","02/17/1998","BRUCE THELEN","2482082500","LICENSING@SUNCOMMUNITIES.COM",42.4307148,-83.6080335
